"cnum","coursename","url","university"
"course114","Value Chain Management Capstone","https://www.coursera.org/learn/value-chain-capstone","University of Illinois at Urbana-Champaign"
"course116","Fundamentals of Digital Image and Video Processing","https://www.coursera.org/learn/digital","Northwestern University"
"course85","The Age of Sustainable Development","https://www.coursera.org/learn/sustainable-development","Columbia University"
"course36","Health Informatics on FHIR","https://www.coursera.org/learn/fhir","Georgia Institute of Technology"
"course28","Material Behavior","https://www.coursera.org/learn/material-behavior","Georgia Institute of Technology"
"course9","Nanotechnology: A Makers Course","https://www.coursera.org/learn/nanotechnology","Duke University, North Carolina State University, The University of North Carolina at Chapel Hill"
"course88","Materials Science: 10 Things Every Engineer Should Know","https://www.coursera.org/learn/materials-science","University of California, Davis"
"course75","Wireless Communications for Everybody","https://www.coursera.org/learn/wireless-communications","Yonsei University"
"course34","AstroTech: The Science and Technology behind Astronomical Discovery","https://www.coursera.org/learn/astronomy-technology","The University of Edinburgh"
"course39","Understanding Russians: Contexts of Intercultural Communication","https://www.coursera.org/learn/intercultural-communication-russians","National Research University Higher School of Economics"
"course38","Energy, Environment, and Everyday Life","https://www.coursera.org/learn/energy-environment-life","University of Illinois at Urbana-Champaign"
"course31","Survey of Music Technology","https://www.coursera.org/learn/music-technology","Georgia Institute of Technology"
"course27","Internet of Things: How did we get here?","https://www.coursera.org/learn/internet-of-things-history","University of California, San Diego"
"course30","Nanotechnology: A Makers Course","https://www.coursera.org/learn/nanotechnology","Duke University, North Carolina State University, The University of North Carolina at Chapel Hill"
"course115","Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course)","https://www.coursera.org/learn/build-a-computer","Hebrew University of Jerusalem"
"course15","Introduction to Molecular Spectroscopy","https://www.coursera.org/learn/spectroscopy","University of Manchester   "
"course83","English Composition I","https://www.coursera.org/learn/english-composition","Duke University"
"course105","Digital Manufacturing & Design","https://www.coursera.org/learn/digital-manufacturing-design","University at Buffalo, The State University of New York"
"course32","Industrial Organization: Strategy and Competition in Business","https://www.coursera.org/learn/industrial-organization","National Research University Higher School of Economics"
"course122","Digital Signal Processing","https://www.coursera.org/learn/dsp","cole Polytechnique Fdrale de Lausanne"
"course73","From the Big Bang to Dark Energy","https://www.coursera.org/learn/big-bang","The University of Tokyo"
"course98","Write Professional Emails in English","https://www.coursera.org/learn/professional-emails-english","Georgia Institute of Technology"
"course82","Interfacing with the Arduino","https://www.coursera.org/learn/interface-with-arduino","University of California, Irvine"
"course20","Converter Circuits","https://www.coursera.org/learn/converter-circuits","University of Colorado Boulder"
"course121","Programming for the Internet of Things Project","https://www.coursera.org/learn/internet-of-things-project","University of California, Irvine"
"course26","Introduction to Complex Analysis","https://www.coursera.org/learn/complex-analysis","Wesleyan University"
