"Cnum","coursename","url","university"
"course154","Compilers ","http://online.stanford.edu/course/compilers-sp-14","Stanford"
"course156","Convex Analysis and Optimization","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-253-convex-analysis-and-optimization-spring-2012/","MIT"
"course131","Introductory Digital Systems Laboratory ","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-111-introductory-digital-systems-laboratory-spring-2006/","MIT"
"course73","Introduction to C++","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-096-introduction-to-c-january-iap-2011","MIT"
"course188","Computer Graphics","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-837-computer-graphics-fall-2012","MIT"
"course45","Introduction to Communication, Control, and Signal Processing","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-011-introduction-to-communication-control-and-signal-processing-spring-2004-spring-2005/","MIT"
"course35","Selected Topics In Cryptography","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-897-selected-topics-in-cryptography-spring-2004/","MIT"
"course132","Machine Learning","http://online.stanford.edu/course/machine-learning-su-2014","Stanford"
"course119","Distributed Computer Systems Engineering","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-824-distributed-computer-systems-engineering-spring-2006/","MIT"
"course186","Web Application Architectures","https://www.coursera.org/course/webapplications","University of New Mexico"
"course8","Dynamic Systems and Control","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-241j-dynamic-systems-and-control-spring-2011","MIT"
"course54","Adventures in Advanced Symbolic Programming ","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-945-adventures-in-advanced-symbolic-programming-spring-2009/","MIT"
"course34","Securing Digital Democracy","http://open.umich.edu/education/engin/eecs/coursera-securing-digital-democracy/2012","University of Michigan"
"course151","Probabilistic Graphical Models","https://online.stanford.edu/course/computer-science-101-Summer-2014","Stanford"
"course66","Program Analysis","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-883-program-analysis-fall-2005/","MIT"
"course191","Principles of Design","http://ocw.mit.edu/courses/music-and-theater-arts/21m-603-principles-of-design-fall-2005/","MIT"
"course23","Computer Networks ","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-829-computer-networks-fall-2002","MIT"
"course86","Software Security ","https://www.coursera.org/course/softwaresec","University of Maryland"
"course190","Internet History, Technology and Security","http://www.open.umich.edu/education/si/coursera-ihts/summer2012","University of Michigan"
