"cnum","coursename","university","url"
"course127","Cyber-Physical Systems: Modeling and Simulation","University of California, Santa Cruz","https://www.coursera.org/learn/cyber-physical-systems-1"
"course186","Practical Time Series Analysis","The State University of New York","https://www.coursera.org/learn/practical-time-series-analysis"
"course148","Introduction to Ableton Live","Berklee College of Music","https://www.coursera.org/learn/ableton-live"
"course33","Engineering Practices for Building Quality Software","University of Minnesota","https://www.coursera.org/learn/engineering-practices-secure-software-quality"
"course95","Programming Foundations with JavaScript, HTML and CSS","Duke University","https://www.coursera.org/learn/duke-programming-web"
"course181","A Crash Course in Data Science","Johns Hopkins University","https://www.coursera.org/learn/data-science-course"
"course152","Introduction to Apache Spark and AWS","University of London","https://www.coursera.org/learn/bigdata-cluster-apache-spark-and-aws"
"course161","Reliable Cloud Infrastructure: Design and Process","Google Cloud","https://www.coursera.org/learn/cloud-infrastructure-design-process"
"course64","Initiation 00c300a0 la programmation (en C++)","cole Polytechnique rale de Lausanne","https://www.coursera.org/learn/initiation-programmation-cpp"
"course158","Web Application Development: Basic Concepts","University of New Mexico","https://www.coursera.org/learn/web-app"
"course20","Material Behavior","Georgia Institute of Technology","https://www.coursera.org/learn/material-behavior"
"course137","Introduction to Sustainability","University of Illinois at Urbana-Champaign","https://www.coursera.org/learn/sustainability"
"course154","Image and Video Processing: From Mars to Hollywood with a Stop at the Hospital","Duke University","https://www.coursera.org/learn/image-processing"
"course75","VLSI CAD Part I: Logic","University of Illinois at Urbana-Champaign","https://www.coursera.org/learn/vlsi-cad-logic"
"course25","Search Engine Optimization Fundamentals","University of California, Davis","https://www.coursera.org/learn/seo-fundamentals"
"course138","Digital Business Models","Lund University","https://www.coursera.org/learn/digital-business-models"
"course165","Systems Science and Obesity","Johns Hopkins University","https://www.coursera.org/learn/systems-science-obesity"
"course27","Interpersonal Communication for Engineering Leaders","Rice University","https://www.coursera.org/learn/interpersonal-communication"
"course26","Engineering Maintainable Android Apps","Vanderbilt University","https://www.coursera.org/learn/engineeringandroidapps"
"course116","Introduction to Economic Theories","Erasmus University Rotterdam","https://www.coursera.org/learn/intro-economic-theories"
"course175","Converter Control","University of Colorado Boulder","https://www.coursera.org/learn/converter-control"
"course3","Introduction to Faecal Sludge Management","cole Polytechnique rale de Lausanne","https://www.coursera.org/learn/faecalsludge"
"course80","Leveraging Unstructured Data with Cloud Dataproc on Google Cloud Platform","Google Cloud","https://www.coursera.org/learn/leveraging-unstructured-data-dataproc-gcp"
"course36","Financial Engineering and Risk Management Part I","Columbia University","https://www.coursera.org/learn/financial-engineering-1"
"course10","Planning & Design of Sanitation Systems and Technologies","cole Polytechnique rale de Lausanne","https://www.coursera.org/learn/sanitation"
"course53","Fundamentals of Fluid Power","University of Minnesota","https://www.coursera.org/learn/fluid-power"
"course17","Oral Communication for Engineering Leaders","Rice University","https://www.coursera.org/learn/oral-communication"
"course42","Engineering Practices for Building Quality Software","University of Minnesota","https://www.coursera.org/learn/engineering-practices-secure-software-quality"
"course171","Finance For Everyone: Value","McMaster University","https://www.coursera.org/learn/finance-value"
"course105","The Holocaust - An Introduction (I): Nazi Germany: Ideology, The Jews and the World","Tel Aviv University, Yad Vashem ","https://www.coursera.org/learn/holocaust-introduction-1"
"course15","English for Science, Technology, Engineering, and Mathematics","University of Pennsylvania","https://www.coursera.org/learn/stem"
"course149","Applied Machine Learning in Python","University of Michigan","https://www.coursera.org/learn/python-machine-learning"
"course200","Innovation and Design for Global Grand Challenges","Duke University","https://www.coursera.org/learn/grand-challenges"
"course54","Our Earth: Its Climate, History, and Processes","University of Manchester   ","https://www.coursera.org/learn/our-earth"
"course162","Electric Vehicles and Mobility","cole des Ponts ParisTech","https://www.coursera.org/learn/electric-vehicles-mobility"
"course88","Software Requirements Prioritization: Risk Analysis","University of Colorado System","https://www.coursera.org/learn/software-requirements-prioritization"
"course133","Neural Networks and Deep Learning","deeplearning.ai","https://www.coursera.org/learn/neural-networks-deep-learning"
"course32","MBSE: Model-Based Systems Engineering ","University at Buffalo, The State University of New York","https://www.coursera.org/learn/mbse"
"course62","Statistical Mechanics: Algorithms and Computations","cole normale sup00c300a9rieure","https://www.coursera.org/learn/statistical-mechanics"
"course46","Financial Engineering and Risk Management Part II","Columbia University","https://www.coursera.org/learn/financial-engineering-2"
"course163","Quantum Optics 1 : Single Photons","cole Polytechnique","https://www.coursera.org/learn/quantum-optics-single-photon"
"course130","More C# Programming and Unity","University of Colorado System","https://www.coursera.org/learn/more-programming-unity"
"course169","Natural Attenuation of Groundwater Contaminants: New Paradigms, Technologies, and Applications","Rice University","https://www.coursera.org/learn/natural-attenuation-of-groundwater-contaminants"
"course144","Creative Programming for Digital Media & Mobile Apps","University of London, Goldsmiths, University of London","https://www.coursera.org/learn/digitalmedia"
"course87","Requirements Elicitation: Artifact and Stakeholder Analysis","University of Colorado System","https://www.coursera.org/learn/requirements-elicitation"
"course78","Serverless Machine Learning with Tensorflow on Google Cloud Platform","Google Cloud","https://www.coursera.org/learn/serverless-machine-learning-gcp"
"course4","Mechanics of Materials I: Fundamentals of Stress & Strain and Axial Loading","Georgia Institute of Technology","https://www.coursera.org/learn/mechanics-1"
"course31","Getting Started with Google Kubernetes Engine","Google Cloud","https://www.coursera.org/learn/google-kubernetes-engine"
"course24","Text Retrieval and Search Engines","University of Illinois at Urbana-Champaign","https://www.coursera.org/learn/text-retrieval"
"course89","Requirements Specifications: Goals and Conflict Analysis","University of Colorado System","https://www.coursera.org/learn/requirements-specification-goals"
"course63","Intro to Digital Manufacturing with Autodesk Fusion 360","Autodesk","https://www.coursera.org/learn/introduction-digital-manufacturing-fusion-360"
"course151","Java Programming: Build a Recommendation System","Duke University","https://www.coursera.org/learn/java-programming-recommender"
"course123","Games, Sensors and Media","University of California, Irvine","https://www.coursera.org/learn/games"
"course150","Introduction to Faecal Sludge Management","cole Polytechnique rale de Lausanne","https://www.coursera.org/learn/faecalsludge"
