"cnum","university","coursename","url"
"course81","Duke University, Emory University, The University of North Carolina at Chapel Hill","Copyright for Multimedia","https://www.coursera.org/learn/copyright-for-multimedia"
"course105","The Museum of Modern Art","Morden Art","https://www.coursera.org/learn/sheying"
"course6","California Institute of the Arts","Game Design: Art and Concepts","https://www.coursera.org/specializations/game-design"
"course130","Udemy","Improve your figure drawing","https://www.udemy.com/how-to-improve-your-figure-drawing-step-by-step/"
"course131","Udemy","The Secrets to Drawing","https://www.udemy.com/the-secrets-to-drawing/"
"course132","Udemy","The Colored Pencil Drawing Course","https://www.udemy.com/the-colored-pencil-course/"
"course133","Udemy","THE ART & SCIENCE OF DRAWING / BASIC SKILLS","https://www.udemy.com/the-art-and-science-of-drawing/"
"course134","Udemy","How to Improve Your Creature Design Drawings - Step by Step","https://www.udemy.com/how-to-improve-your-creature-design-drawings-step-by-step/"
"course135","Udemy","Painting Course: Watercolor Painting, Art Therapy & Drawing","https://www.udemy.com/painting-course-watercolor-painting-art-therapy-drawing/"
"course136","Udemy","Digital Painting in Photoshop: Create Amazing Concept Art","https://www.udemy.com/digital-painting-in-photoshop-create-amazing-concept-art/"
"course137","Udemy","Shading Masters: The Ultimate Drawing Course for Artists","https://www.udemy.com/shading-masters-the-ultimate-shading-course-for-artists/"
"course138","California Institute of the Arts","Introduction to Programming for Musicians and Digital Artists","https://www.class-central.com/mooc/3749/kadenze-introduction-to-programming-for-musicians-and-digital-artists"
"course139","University of Rochester","The Music of the Beatles","https://www.class-central.com/mooc/1135/coursera-the-music-of-the-beatles"
"course140","Berklee College of Music","Introduction to Guitar","https://www.class-central.com/mooc/522/coursera-introduction-to-guitar"
"course141","Cornish College of the Arts","Introduction to Graphic Illustration","https://www.class-central.com/mooc/3773/kadenze-introduction-to-graphic-illustration"
"course142","National Film and Television School","Explore Filmmaking: from Script to Screen","https://www.class-central.com/mooc/3001/futurelearn-explore-filmmaking-from-script-to-screen"
"course143","Pacific Northwest College of Art","Designing for Mixed Reality","https://www.class-central.com/mooc/7608/kadenze-designing-for-mixed-reality"
"course144","Arizona State University","Piano II: Focus on Reading","https://www.class-central.com/mooc/7612/kadenze-piano-ii-focus-on-reading"
"course145","University of Rochester","Fundamentals of Audio and Music Engineering: Part 1 Musical Sound & Electronics","https://www.class-central.com/mooc/686/coursera-fundamentals-of-audio-and-music-engineering-part-1-musical-sound-electronics"
"course146","University of Florida","Music's Big Bang: The Genesis of Rock and Roll","https://www.class-central.com/mooc/1136/coursera-music-s-big-bang-the-genesis-of-rock-n-roll"
"course147","School of Visual Arts","Fundamentals of Video Production","https://www.class-central.com/mooc/7620/kadenze-fundamentals-of-video-production"
"course148","University of Colorado Boulder","Graphic Design","https://www.class-central.com/mooc/6597/coursera-graphic-design"
"course149","Ludwig-Maximilians-Universität München","Theatre and Globalization","https://www.class-central.com/mooc/2918/coursera-theatre-and-globalization"
"course150","University of Leeds","Physical Theatre: Exploring the Slap","https://www.class-central.com/mooc/6096/futurelearn-physical-theatre-exploring-the-slap"
"course151","Indian Institute of Technology Kanpur","Folk and Minor Art in India","https://www.class-central.com/mooc/6705/nptel-folk-and-minor-art-in-india"
"course152","Indian Institute of Technology Roorkee","Visual Communication Design for Digital Media","https://www.class-central.com/mooc/10103/nptel-visual-communication-design-for-digital-media"
